,actors,p_UM,p_TM,p_UF,p_TF
351,EndGameShowWW3,0.8812060215259301,0.7581060959181418,0.6733289277306012,0.6733289277306012
358,Euan_MacDonald,,0.8820032398477041,,
360,EuromaidanPR,,0.8505609181736722,,
364,ExplosivePulse,0.8699023143402741,0.8103615364596752,0.847409152447244,0.8765304511981762
366,FCriticalThink,0.7885339463952229,0.7377118423045325,,
369,FarEasterner,0.8576624085641582,0.8661214917448748,0.8313179827658194,0.8437205009678769
372,FbpeReynard,0.7213047559100352,0.7749398185772393,,
379,Flashgordonv,0.8166119284928828,0.7201511238625073,0.8750727737103503,
382,For2000years,0.9023330488659027,0.7869812227553739,,
387,Frank34664866,0.8513319052134543,0.7944527394568991,,0.7088972047096851
400,GeraldSchendel,0.9057378195317394,0.7912794042006834,,0.8337549726420487
406,GlasnostGone,,0.7984520615267974,,
407,Glass__Steagall,0.8390840869207322,0.8488191310132027,0.8913786935485867,0.8115410629019582
409,GloriaSacer,0.8406737165382824,0.7816427002954807,0.7005702001764003,
413,GordBolton,0.9062953553511204,0.819452949156335,0.9135636757209188,0.9074941970793247
415,GorseFires,0.8225083817562391,0.8203612506828932,,0.8618187312896914
416,Govt4theP,0.7957977679700413,0.8172040434097088,,0.9075250075023998
418,GrahamWP_UK,0.8212799787871276,0.7657742600876657,,
419,GreeGreece,0.8398872896183358,0.8156971154399397,0.7459423975125028,0.8104634924814909
428,HahnThomsen,0.8503951258926064,0.858983907882757,0.7083119433524283,
431,HarryFerro,0.8834233621564708,0.7486714572657485,,0.8536679499503197
433,Harry_Dillema,0.860795029405129,0.8178798047217875,0.8588059660156079,
437,Hepworthclare,,0.8034436191677329,,
438,HillestadNils,0.9025424455845217,,,
444,IFFConsulting,,0.8265825518645844,,0.8374610579020236
447,Ian56789,0.8512813502919011,0.8302420769722008,0.859260380260961,
448,IanKerr,0.8766341313339341,0.8455608290151826,0.8778814412161036,
449,IanMolony,0.8620038129298804,0.8431215541872491,0.9228975356512256,
451,IlvesToomas,0.7559093845133555,0.8209192124741396,,
453,Independent,,0.8423862044919024,,0.808708208464237
457,InsydeMan,0.8287546127244996,0.8175157964490293,,
458,Inthepeninsula,0.794626840395634,0.8870485511692895,0.9114381444341526,0.7565627077459611
470,JTwittwoo,0.8898692211893154,0.7950332009169921,,0.8290581026481194
472,JackieKane,0.7925606695470045,0.784825767499089,,0.8002436728056003
490,JeffLee2020,0.845008221017731,,0.909672099281907,0.8756477721022309
493,JewRussophile,0.8994611605483486,0.7717984433101199,0.8925000295911271,0.8274567815705232
494,JimTilt,0.8020573588811694,0.9096266103620094,,
500,JoeFreedomLove,,0.8421308852835443,0.9004114261582794,0.8096687057193881
503,JohnBooth2017,0.8307027520030231,0.8303238725031338,,
504,JohnDelacour,0.8040139585721586,0.8236744031801615,,
505,JohnEJefferson,0.8316437505132486,0.84899605198419,0.8778398467185209,
508,JohnWight1,0.8713183941080183,0.7607914765167634,0.8778569475609098,
520,JudeJack,0.847542062032461,0.8960461077992498,,
521,JuliaDavisNews,0.7722897807460347,0.8285351571424175,,
525,K69atie,0.8148631144386208,0.8866063150352115,0.8750737731826235,
543,KirkChris,0.8097004719762612,0.7703753009124357,0.8750491447010289,
546,KlevahKloggs,0.8773625618929057,0.8231827045619888,0.892859166535138,
549,Kostian_V,0.6478795380225818,0.8401453340566418,,0.8219697252874092
550,KremlinTrolls,,0.7998376231834543,,
552,Kropotkin_alias,0.8322004677625332,0.7246661125358133,,
559,LabourLeft,,0.7871289887776342,,0.7924684738642762
561,Labour_Insider,0.780818759651727,0.7504152048835184,,
563,Lance63,0.8392613977169875,0.8309429768519623,,
567,LaterNewspaper,0.706017209341991,0.8332693638659072,,
568,LauraStarink1,,0.8203363216396404,,
570,Laurel700,0.9180878544949691,0.8697743395086213,0.8924088161663688,
572,LeRuscino,0.8597202781278473,0.8551592278775346,0.8430810184226161,0.9064607125398406
576,LevHavryliv,,0.8056959193682709,,0.861813422501496
579,Lewisno1fan,0.8277627866851139,0.8088939217561496,,0.7892451688295085
584,LindenLyn,0.7869750883193981,0.7958162753422303,,
593,LoveDomine,0.8894421757654134,0.8343461124697289,0.8383607912747373,0.8799549040556225
609,Magnus0Pus,0.7739993461924254,0.7678243014407409,0.8509491671372755,
610,MagsNews,0.7940232238029212,0.8104065831620014,,
611,Mainrushun,0.8635008713393623,0.7806554000165962,,0.9075314503663445
613,Malinka1102,0.8673064994846899,0.826231809488872,,
618,MargaretDunne13,0.7873886449036223,0.8264104955110746,0.8285216497182214,0.7664099791866299
619,MargaretHardwi5,0.8156804743764083,0.8291957742614999,,0.8102358639824712
624,MarkSleboda1,0.8470210134702967,0.8174533544490479,0.8847915203074719,0.8511010886935041
628,MaryJoMcManus,0.8781525962235159,0.9191072035640646,0.8462402834799028,
629,MaryKapadia,0.8447303714042329,0.8159229390108959,0.8443648490997113,
632,MayaWintersSMS,0.8656334911102372,0.7367300711260709,0.7475230287819923,
636,MellowOchre,0.9350453582415552,0.7913556706108278,0.8847886570926866,
637,MerryMichaelW,0.8038938248660861,0.8047707507999515,0.8343022408228897,0.8332000509437837
638,Methusalada74,0.8411187001466467,0.8152518611639469,0.7758703279743375,0.8144863731514709
639,Metztli_IT,0.812581244528646,0.7673913845690328,0.8889073976169822,0.9064950549014493
641,MichaKobs,0.8078482258085389,0.7895355253481602,,0.7418652901083421
649,MikeIona,0.7533631259612822,0.7725997644959721,,
650,MikkiL,0.802388335144773,0.8432027866706635,0.8348755483004573,
652,MillersManiac,0.753908391191179,0.7541991451512107,0.8473747625152562,0.8289769110637668
655,MomentumCV,0.8528784935959539,0.7876891252336435,0.9729147120879222,
663,MrMalky,0.8126003887165584,0.6930619491646808,,
665,MrToronto1,0.9068858794533046,0.7569593576034057,0.81337931414588,0.8202952043164823
668,MuseAndVent,0.7618385089855939,0.8201119114251846,0.8778982077582059,
670,MyArrse,0.9104897109054743,0.7944264977350353,0.7084403019501737,
673,NAJ562,0.8455918299167313,0.8327926514209094,0.8638009007547067,0.9110826547665569
682,NeilClark66,0.7897794092372736,0.779281209952325,0.8778255558982258,0.7393607978576792
685,NeotipPro,0.8269263421169587,0.7806838319582662,,
692,Nidaba07,0.8549283683306186,0.8363126963897793,0.8459943634894418,0.8500747208970793
694,NoLove4USGov,0.7977176814339846,0.8105058824141006,,
695,NomenChanX,0.8531786877658512,0.7929581266074034,,
696,NormaFerrie,0.8147668687770669,0.8385718467375245,0.8878486777999663,0.7611538858900313
703,OccuWorld,0.7986072032387744,0.7736684840603596,0.8916084507812123,0.7151253577624259
705,OccupySchagen,0.8605716523370086,0.8404201780519954,0.8208707557993475,
709,OffGuardian0,0.7207413337716517,0.779863626996431,,
710,Okavangomick,0.8545433950644894,0.811162544223263,0.840410916893543,0.8064093468494754
718,Omen100,0.8473670416180281,0.8336808210544372,,0.7467648351464083
719,OneTenTwelve,0.7509818342661273,0.7946958062651193,,0.8083390612798855
724,OrBVIOUS66,0.8682871546305183,0.7492794233706273,0.8987607000791977,
725,Orgetorix,0.8221062675862144,0.8554784537616023,,0.7630099334273763
726,Orthodoxe,0.838224797351868,0.8347253018043572,0.7247629662113202,
727,OzKaterji,0.70795134251946,0.8020465973199897,,
732,P_na_cova,0.8155140034918353,0.7479304007586638,,0.8514942299255287
733,PakamamaniRenew,0.8653629267404481,0.762308942625753,,
735,PamelaFalk,,0.7869028048554725,,
739,Paparaw,0.811127168623251,0.8752893329227065,,
743,Paul1Singh,0.7221515131101581,0.8083114740200135,,
744,PaulCraigRobert,0.793928658571065,,,0.8749304833366247
747,PaulaChertok,,0.8487876754958423,,0.6714990476363871
751,PeaceOnEarth222,0.8475671553710635,0.8625821495295147,0.7315283098303742,0.8106838884475552
755,Petejohn77,0.8941342908601122,0.7966880977589292,0.7731002309594057,
760,PeterPyke,0.8297104013690159,0.8105129012109323,0.866620972485427,
766,PetersWooll,0.875333112283467,0.7872613388223894,,
774,PhilipIngMBE,0.7159973281576644,0.8573835628632642,,
787,PoliticsNewz,0.6975168468501112,0.837899478222406,0.6966759488969221,0.8066455502789878
789,PolticsNewz,0.6978567799530426,0.8170363951100426,0.696710557369222,0.8055600216622019
793,PrincessBibiRF_,0.8655342275687566,0.7827722762940518,0.7009209175888975,0.533589938004295
804,QuixotesHorse,0.6753150084608295,0.8187541342173861,,
809,RTUKnews,0.8146915287669172,,,
810,RT_com,0.7796153604520211,0.783486171301473,,0.8142483458986769
811,RafaelStepanian,0.8342676842510738,0.7567749202257803,0.8010127123593539,
815,RandiM20,0.847527955402366,0.7418440314591953,,
820,RealandIllusory,0.8616973004622653,,,
823,Redcountessa,0.6853493819752751,0.7738745311477859,,0.8084832260189249
826,RenieriArts,0.7732159727569751,0.8103888808308733,,
828,RetinaScanning,0.803073559406221,0.8605193003008434,,
829,Reuters,,0.8782643302896395,,
830,ReutersUK,,0.8851070690507499,,
832,RickAfonso3,0.9166984940317341,0.8378647000400343,0.8832191411362722,0.8559419726989814
835,Right2LeftUK,0.8789080129424441,0.8878608243634203,,
836,RoadrunnerA,0.87241886254591,0.8128175168675007,,
854,Russ_Warrior,0.7972578514835131,0.7564709549935499,0.8929264336560975,
855,RussiaConnects,0.880282802670005,0.7868947430942763,0.8953613237292105,0.8210098691684913
857,RussianEmbassy,0.7415541005399416,0.8889149682274371,,
858,RussianEmbassyC,0.912314388039714,0.8880735407240676,,
864,SUP3RNAT1JRAL,0.7915242392114463,0.7800735855420143,0.8987333687219341,
865,SUTONGIROTCIP,0.8581222486554309,0.8407936477352815,0.875067326670653,
874,Salford_Council,0.808550310127628,0.872363119318375,0.8245796065934813,
882,SaorAlba59,0.8502065926418046,0.8644749372280348,0.8777757072045175,0.7240287285022858
883,SarahKZhou,0.7659563221741147,0.8011614467311556,,
884,SarahRosemary3,,0.7837257258465575,,0.7615607835949191
886,Scotscouser,0.7728018967742756,0.8019570842101077,,
887,ScottLucas_EA,,0.8307808924619559,,
893,Shagova_Alena,0.8822387225690497,0.8640440428551728,,
894,Shambles151,0.8399661198778094,0.8741159142793387,0.9130077384657828,0.8337241601089402
900,ShoebridgeC,0.7936942800751114,0.8848570573718387,,
904,SicilianoSum,0.8964368251802939,0.8653655779135461,0.718405991700785,
908,Socialismilucra,0.8553406564823517,0.7819384731607422,0.8987542590257315,
909,SocialistVoice,0.7778686075723549,0.8310487059031788,,0.7725787487064999
913,SoylentGreen78,0.7375614344996719,0.7583065306948017,,
919,StallaSimonin,0.7607775783527118,0.7909193473557234,,
920,StarSparkle_UK,0.8736399517225856,0.8806388412097057,,
921,Starsailoresss,0.8173269363381019,0.8409259231183572,0.8776003338643206,0.8795489393149803
922,Stef_Coburn,0.853121545314001,0.8220867779328647,0.9085075876054323,
924,SteffiThompson,0.8502869171878771,0.7374592409554654,0.8569581775019055,
932,Stredni_trida,0.8034231082719822,0.8349463732567164,0.8286794960940866,
936,SuckMyLEFTJuan,0.7905417143909341,0.8115030651659408,0.8778645189087962,
947,Syricide,0.7680350489807108,0.7764617905135343,,
948,TAsaurus,0.9135813192533219,0.7916445945435355,0.8987515149371312,0.8475504253749817
951,TSlicht,0.7855702476254707,0.8317124550406914,0.7896921806130619,
955,Tahoesquaw1,,0.8606978645745331,,0.7352765400196707
956,TallyAnnaE,,0.8389600707532423,,0.8638966762887368
959,TeamTrumpRussia,0.8307661756590055,0.8078158468110297,0.9017726029626927,0.8227042173638145
961,TetySt,,0.8460792237649353,,
962,Th2shay,0.8279023767192367,0.7143106107108554,0.8274398593589858,0.8341893436089167
964,TheFabledAesop,0.7631156217524026,0.8378501260445883,0.8619135850471553,0.876508504396833
968,TheStephenRalph,,0.8475372900562756,,
972,The_Jag_10,0.8529435269469863,0.8227148641038984,0.7700042398443251,0.7798185239217426
973,ThereIsaidso,0.8617468242948136,0.9064919091737692,0.8775260203733855,
975,Think_Blue_Sky,0.7271056620572227,0.7726917701236662,,0.844600643529581
977,Tim_Tunden,0.826132533213088,0.8173527139521692,0.8750377297984643,
981,Tolgek,0.8252297630792823,0.8757128556319811,,
983,TonyGosling,0.8234369357944403,0.8351941401473418,0.8751715494733242,
986,TornadoNewsLink,0.8086817451423167,0.8778759555622099,0.8845351003142448,0.7841914949781452
991,TroyCoby,,0.8303245327846271,0.9350484249814036,0.8444819326548357
992,TruePublica,,0.7658716361498896,,
998,UKDemockery,0.6860696616131704,0.796223989550041,,
1005,Umbertobaggio,,0.8471181452699668,,
1006,UmlandAndreas,,0.8715502072385919,,0.8244707282566679
1007,Unkle_Ken,0.8048125309178402,0.7894592636862386,0.8929893658776746,
1011,VKofSEVASTOPOL,0.8496341857987094,0.8340461899531243,0.8725548540193044,0.8166897524313446
1014,ValerieRooney1,0.8045067800613508,0.8001813400558406,,
1018,VanessaBeeley,0.8036651876617944,0.7295495032306574,,
1021,VictorJohnKing1,0.8712073363035372,0.8559801416392429,0.8372540676602888,
1023,Video_Forensics,0.7889929424041109,0.8359109008439518,,0.7874764385554498
1032,WakeUpB42L8,0.8541169827253954,0.8146961510465621,0.8830449411619403,0.7898146209167428
1034,WeCon14,0.8714305289663187,0.8090929477429436,0.7242737902253777,0.8392031471813775
1036,WhirlwindWisdom,0.8013650861314243,0.8220051097884086,0.8387255127026021,
1038,Wilkmaster,0.7804866546007503,0.8697801189231289,,0.8105562532600757
1042,WinderDeyan,0.8564065776881344,0.830112685591538,0.8538697445289103,
1043,Wirral_In_It,0.8530568475391096,0.8132557241726286,,
1046,WomenSaveUSA,0.7340723338500311,0.8229878106726924,,
1051,XSovietNews,0.7547835424112961,0.7874177515558864,,
1052,X_RayVision,0.7847308223607274,0.783138148259179,0.8778851848936267,
1061,YvonneGetcarter,0.8892654017537304,0.7831288238903752,0.8824288428073063,
1065,ZodiacNein,0.7883826330675913,0.8223042099308984,,0.7725832004360087
1075,_dpaj,,0.8358869505974342,,0.7825432226559654
1076,_irishrepublic,0.8092503617886786,0.7721173691304284,,0.8199621145114714
1077,_radikalek,0.7641601891049261,0.797147217061462,,
1078,aHEM_again,0.7739139485259203,0.8117683620358997,,
1088,afshinrattansi,0.8525965476231675,0.7902378739669126,0.8987317914581194,
1093,alberttrigg,0.797510403871288,0.8384275405268966,0.8314227870385557,
1100,alihadi68,0.8787006888537352,0.8591886887484121,0.8752026997056901,
1101,aljola,0.8101730928826966,0.8067343862559517,0.8975081314499832,
1103,alliomack,0.7956350061251048,0.7481866594033302,,
1104,alt_media_today,,0.8753545936145174,,
1106,amborin,0.8518244637256338,0.8362700738305185,0.8678532356595069,0.7963207733764213
1110,angelneptustar,0.8293366998582595,0.7975033026170002,,
1113,annaleclaire,0.8745057538702621,0.7671999603001974,,
1126,aspals,0.7635963672450684,0.8231125296710254,,0.7709248022467673
1133,bassmadman,0.7463936612798993,0.8261191183292326,,0.816536942972234
1134,bdnews24,,0.8817141261152028,,
1135,beholdcosmicwav,0.7382580039358928,0.7592402618049953,0.8946719411697157,0.9110310892969642
1142,beverleyhb57,0.8136766698081096,0.7267895544919468,,
1145,bigfatgit,0.8732721640124874,0.8321554777299525,0.8266390721970334,0.828531635120912
1153,boblister_poole,0.8212067963829077,0.8137266107288621,,
1155,bodhibrian,0.8480077693056407,0.8451959836253963,,0.8008451949119086
1158,bongosaloon,0.8132703343186047,0.7575774080690263,,
1159,bony_rabbit,0.8054585079758728,0.8414244260729303,0.876811164795326,
1164,boufont_zak,0.8126563699227086,0.7778165430418877,,
1167,broncoskolar,0.8304304217010325,0.816836136850851,0.8871879674190712,0.9064679580819366
1171,buddendorf,0.8686149125725257,0.8298855492720928,0.877092051735618,
1172,bunnysix1000,,0.79001097795895,,0.8617897523270024
1176,bwiedwards,0.9004670397025208,0.8750262287003518,,0.7302875296485569
1178,byerleylbj,0.8761585380695782,0.7710529610317469,,0.7952747417500583
1182,c_love888,0.810125370868415,0.7762865641890141,0.8778667948275238,
1183,calder_walton,,0.8435975044856027,,
1192,carbonsaveruk,0.9031026200550505,0.7784070655227039,0.8569400589460818,0.833698301153722
1194,carolehope2,0.8385261865252387,0.83177349025592,0.708140144180638,0.8313161903439157
1203,ccbaxter1960,0.7988437402461042,0.7368802931362062,,
1207,changeworld2,0.7826007132138155,,,
1210,chezzy51,0.8045192277408133,0.797561283183146,,
1211,chootchyface,,0.8889676437411274,,
1215,city_affairs,0.8474119083173013,0.8375210493568903,0.8881810019414911,0.9108502240146168
1216,cjsienna55,0.8881128113849028,0.791711469653985,0.8152820493469837,0.7807643491634817
1225,clintonkowach,0.9045396108384018,0.8620477759981818,0.8879856226587318,
1233,communicipalist,0.8851965999264945,0.8105272858913661,,
1235,cooksy51,0.8536990279345044,0.7955588577316092,0.8246691125815749,
1236,coralivesey,0.8508956416778946,0.8674562383857669,0.8892606770990583,0.8474092479033022
1250,dallo100,0.8395174750217566,0.7951451824302952,,0.8083240884466494
1256,davidaslindsay,0.7626301749340542,0.7703191616364684,,
1258,davidh7426,,0.850437615084985,0.847034277608337,0.7356723473606863
1259,davies42g,0.7646876821418056,0.8161910428048034,0.9178288821854258,
1263,debmc118,0.8688618817873834,0.8714464402679717,0.7703339550897048,0.9074894833303443
1269,delhi_dave,0.8398680198317031,0.773319264883031,0.8777166484383964,
1274,deusexstigma,0.8642017804422748,0.8121519158508164,0.8038724099402261,0.9064654367386016
1282,drbairdonline,0.8966583774691461,0.7868363394389308,0.7262008942546121,
1289,dwilliam9940,0.8156824542643705,0.8091427838710558,0.7010525873066367,
1292,edwardlucas,0.8002011233714488,0.8323609589530135,,0.860781934345515
1315,femiokes,0.9354032758891495,0.7498454506469623,,
1318,ferozwala,0.7689462762879244,0.7600372849624831,0.8378922488127101,0.7705513902030359
1321,fiorifan,0.7008498039257299,0.8177655905002474,0.7489777196221322,0.8593164532530921
1323,flamingyam,0.820510475561406,0.8158125489443013,0.8867361005201915,0.7805354799442786
1328,fredwalton216,0.8282194356387604,0.8059538545202889,,
1330,freidenker1977,0.7819326104212125,0.8119615594462078,,
1333,fulelo,0.6753871601219705,0.8419707513251604,,
1343,georgegalloway,0.835317664050993,0.8841208970133831,0.8777731302179257,0.7755323541763565
1344,geronimo100,0.8248769451351362,0.76007387340316,0.8750632832315046,
1348,glamead,0.8384787150833768,0.8272221587513959,0.8751745194388967,
1349,globalissuesweb,,0.8702617418313545,,0.766376767923383
1353,golub,0.7658876489325674,0.8131993308879921,,
1360,gregalach,0.7986032261224654,0.8286393471510275,,
1363,guardian,,0.8185439314885535,,
1364,guardiannews,,0.855583475467233,,
1367,hairymarx1,0.8903961754931623,0.8544074044747962,,
1368,haloefekti,0.8302622002007763,0.8337699395787516,0.7080919227951812,0.8533895375045792
1375,hawkins_carole,0.8337050253999535,0.7778554902638369,,
1377,hdevreij,0.8206543748673558,0.8545511590198906,,0.8078626022096979
1380,helenyg,,0.7937440136638458,,
1391,ianpuddick,0.7913478336841125,0.8670879616228759,0.8746391539367306,
1394,imvotinglabour,0.8741847112495533,0.8955429591258781,0.8439594129713679,
1396,inartic,0.8465438274841542,0.7827317489962355,0.8885109110497245,0.8481969158662637
1407,ivan8848,0.8231252670162048,0.8391154968354765,0.8936198624660602,0.8204945062837252
1410,j_sutherland2,0.8799311171023383,0.8237436011171813,,0.8290419453742055
1424,jbwhitesnake,0.8047738241714537,0.7915660096677242,0.8839307820930579,0.919718365721629
1428,jennyfrky,0.9060139080670201,0.8331030191395463,0.7432823890487932,
1433,jizzclone,0.8418487159368292,0.7483730072355148,,
1439,joaonunes67,0.8551496719398375,0.7131298257329811,,
1446,johnjoechad,0.8164754376824628,0.8110195738899147,0.8641541939074677,0.8302085108647638
1449,johnom318,0.8096002105979887,0.8838647401856814,0.860479778140833,
1450,johnsweeneyroar,,0.8315444946028961,,
1455,josie1964,0.8981868394035211,0.7338784977003862,0.8569797755577735,
1465,justmebeingme4,0.9012663952423579,0.8322087338831575,0.8868216784916554,0.8294970693869632
1467,kambrone64,0.7853570831562195,0.7720995997352249,0.8604562765464723,0.8205274563449907
1468,karolcummins,,0.8561702900294629,,
1472,kathiebennett,0.870483521865491,0.8354360396518882,0.8618530658665033,0.7121047004316188
1489,korol_koshek,0.8752368657041787,0.7584266510936786,0.9283000919482941,
1491,krstae,0.8336506528707478,,0.8297487293729656,
1493,l_bourhill,0.7627684264740504,,,
1495,labour52rose,0.7718324563482419,0.7741037424798742,,
1504,lauramarsh70,0.8425964919724521,0.7607870299592681,,
1506,lennutrajektoor,0.7633481536472795,0.8541921723728378,,
1507,leocullen4,0.8314571009564752,0.8529753723583553,0.8430603376821948,0.7086222056179083
1510,les_politiques,0.8541553628285696,0.9104313630671201,,0.7280770111627903
1511,lesbonner,,0.8404015674750578,,
1514,libbyliberalnyc,0.8043658921599458,0.8149722284300709,,0.8966863538785002
1516,libertadorzn,0.7846784016420902,0.8333673305310337,0.8778491266511442,
1521,lisa_alba,0.8656255793459406,0.7939042355636745,0.8856587596227025,0.706350013057819
1524,littlejeff5,0.8477978610779024,0.7392912382745603,,
1529,logansteven,0.8838657756437841,0.9116144604522424,0.8786860471479115,0.8129212049534963
1532,loscimientosgt,0.848062045070277,0.9133863936818718,0.8407482326047059,
1538,lucma66,0.8713387255212006,0.8630182384573356,,0.8585596603642374
1541,lulu_lemew,,0.8145987102354371,,
1549,manatrue,0.8169342916908953,0.7944698495659823,,0.755478604227154
1551,marcelsardo,0.8806079315240473,0.8348795314752092,0.8778030639578454,0.8205823630356945
1555,maria_engstrom1,0.8509962794151928,0.8060755347085362,0.8837928755209186,0.7861954940095394
1556,mariabirchwood,0.8297788974456033,0.8422102275065397,,0.7856826587854326
1559,marinochka_san,0.8371081740173658,0.7946234586175012,0.8285415948426952,
1567,martinjhamer,0.8812353509257754,0.7700340362094488,,
1577,mazzenilsson,0.8242648883286307,0.8388699765854528,,0.8001917594991612
1582,medialens,0.7725958047446493,0.8151325622844269,,0.8284602456426631
1583,melaniekmelvin,0.8781426696581012,0.7918156718211572,0.877807496732174,0.7896831821710443
1585,mellysbelly007,0.7974110975238058,0.7859701399965,0.8569477666425342,
1593,michaelbranniga,0.9200323374230726,0.8421872586229409,,0.8482239503425548
1598,mikeymikedoha,,0.865537651106716,,
1609,mkj1951,0.8621252817577908,0.8202848004279325,0.8470764056040503,0.9075002654293162
1610,ml_maria_,0.8767568060993898,0.8060514959053867,,0.9075182065247898
